feature,rf_importance,mutual_info,rf_rank,mi_rank,worst_rank,online_computable
Tot sum,0.1109417529072381,1.093512897938434,1,1,1,True
Max,0.07922539640873118,0.9846720121714563,3,2,3,True
AVG,0.0820831423792318,0.9842968443608073,2,3,3,True
Tot size,0.07793833232311316,0.9834647566631127,4,4,4,True
Rate,0.07619639319376828,0.6808118852318694,5,7,7,True
Time_To_Live,0.047788830619479354,0.6190828084027395,8,8,8,True
Header_Length,0.04710821163344964,0.8111921004714684,9,5,9,True
ack_flag_number,0.051211616064050704,0.5940569896311723,7,10,10,True
IAT,0.044471003889786816,0.6913056131934368,10,6,10,True
Min,0.05259689237640196,0.5609249703455266,6,11,11,True
Std,0.04214394427268193,0.6122865223564591,11,9,11,True
ack_count,0.029510977464685447,0.537690069156302,14,12,14,True
HTTPS,0.03421264779933741,0.46760091916703717,12,14,14,True
Protocol Type,0.027835437888372408,0.40274751641809514,15,15,15,True
psh_flag_number,0.024679681247393497,0.3721519428790909,16,16,16,True
TCP,0.02240225443285591,0.51323558083224,17,13,17,True
ICMP,0.013767931716655782,0.13803442350936823,19,20,20,True
UDP,0.012387037321288192,0.352347110270129,20,17,20,True
syn_count,0.011786381553568445,0.19030741438308318,21,19,21,True
syn_flag_number,0.011223205766967458,0.24978248031842032,22,18,22,True
HTTP,0.015879375738118193,0.11338988912452796,18,25,25,True
fin_flag_number,0.008275235590938216,0.1200199916926099,26,24,26,True
DNS,0.007219106332856181,0.10954866123174334,27,26,27,True
rst_flag_number,0.01032450067389857,0.09784820265458816,23,27,27,True
IPv,0.0029717223070082933,0.13041502078070888,28,23,28,True
rst_count,0.009094662880783087,0.08437992167149577,24,28,28,True
fin_count,0.008736764619689369,0.08403043510751429,25,29,29,True
ARP,0.0029151623597309774,0.13400253154096387,29,21,29,True
SSH,0.03046702241084655,0.020225426414050673,13,30,30,True
LLC,0.00287274929976021,0.13272551964106727,30,22,30,True
DHCP,0.0008599397245360877,0.007185334948228483,31,31,31,True
ece_flag_number,0.0003088628811678051,0.002829350949534959,32,33,33,True
IGMP,0.0002694629846016926,0.0004849706895928563,33,35,35,True
IRC,0.00010722331646841095,6.021071183237581e-05,35,36,36,True
Telnet,9.416863041687558e-06,0.002279512323843047,36,34,36,True
cwr_flag_number,0.0001690855467700753,0.0,34,37,37,True
SMTP,8.635210727336466e-06,0.004119267997080289,37,32,37,True
