feature,rf_importance,mutual_info,rf_norm,mi_norm,combined_score
Tot sum,0.1109417529072381,1.093512897938434,0.11094175290723807,0.08487997592889615,0.09791086441806711
AVG,0.0820831423792318,0.9842968443608073,0.08208314237923178,0.07640247555720879,0.07924280896822028
Max,0.07922539640873118,0.9846720121714563,0.07922539640873116,0.07643159659894247,0.07782849650383682
Tot size,0.07793833232311316,0.9834647566631127,0.07793833232311315,0.07633788776507192,0.07713811004409253
Rate,0.07619639319376828,0.6808118852318694,0.07619639319376827,0.05284555540179917,0.06452097429778372
Header_Length,0.04710821163344964,0.8111921004714684,0.04710821163344962,0.06296584712584295,0.05503702937964629
IAT,0.044471003889786816,0.6913056131934368,0.04447100388978681,0.05366009300667009,0.04906554844822845
ack_flag_number,0.051211616064050704,0.5940569896311723,0.05121161606405069,0.04611152102124113,0.04866156854264591
Min,0.05259689237640196,0.5609249703455266,0.052596892376401944,0.04353976809108076,0.04806833023374135
Time_To_Live,0.047788830619479354,0.6190828084027395,0.04778883061947934,0.04805405951249827,0.047921445065988805
Std,0.04214394427268193,0.6122865223564591,0.04214394427268192,0.04752652243716818,0.04483523335492505
ack_count,0.029510977464685447,0.537690069156302,0.02951097746468544,0.041736243087059546,0.03562361027587249
HTTPS,0.03421264779933741,0.46760091916703717,0.0342126477993374,0.03629582681471254,0.03525423730702497
TCP,0.02240225443285591,0.51323558083224,0.022402254432855907,0.03983805205134967,0.03112015324210279
Protocol Type,0.027835437888372408,0.40274751641809514,0.0278354378883724,0.03126181644810858,0.029548627168240492
psh_flag_number,0.024679681247393497,0.3721519428790909,0.02467968124739349,0.028886945927223642,0.026783313587308566
UDP,0.012387037321288192,0.352347110270129,0.012387037321288189,0.02734966756654431,0.01986835244391625
SSH,0.03046702241084655,0.020225426414050673,0.030467022410846544,0.0015699254306124658,0.016018473920729505
syn_flag_number,0.011223205766967458,0.24978248031842032,0.011223205766967457,0.01938845984977231,0.015305832808369883
syn_count,0.011786381553568445,0.19030741438308318,0.011786381553568441,0.0147719233878081,0.01327915247068827
HTTP,0.015879375738118193,0.11338988912452796,0.01587937573811819,0.008801479230482755,0.012340427484300472
ICMP,0.013767931716655782,0.13803442350936823,0.013767931716655779,0.010714421902953974,0.012241176809804875
rst_flag_number,0.01032450067389857,0.09784820265458816,0.010324500673898568,0.00759511213966019,0.008959806406779378
fin_flag_number,0.008275235590938216,0.1200199916926099,0.008275235590938214,0.00931611691554881,0.008795676253243512
DNS,0.007219106332856181,0.10954866123174334,0.0072191063328561796,0.008503317835503654,0.007861212084179916
rst_count,0.009094662880783087,0.08437992167149577,0.009094662880783085,0.006549685635954832,0.00782217425836896
fin_count,0.008736764619689369,0.08403043510751429,0.008736764619689367,0.00652255800792763,0.0076296613138084985
ARP,0.0029151623597309774,0.13400253154096387,0.002915162359730977,0.010401460900051071,0.006658311629891024
LLC,0.00287274929976021,0.13272551964106727,0.0028727492997602097,0.010302337479075895,0.006587543389418053
IPv,0.0029717223070082933,0.13041502078070888,0.0029717223070082925,0.01012299337804088,0.006547357842524587
DHCP,0.0008599397245360877,0.007185334948228483,0.0008599397245360875,0.0005577355864722753,0.0007088376555041815
ece_flag_number,0.0003088628811678051,0.002829350949534959,0.00030886288116780503,0.00021961811419296838,0.0002642404976803867
SMTP,8.635210727336466e-06,0.004119267997080289,8.635210727336464e-06,0.0003197432504875059,0.00016418923060742118
IGMP,0.0002694629846016926,0.0004849706895928563,0.00026946298460169254,3.7644092297829855e-05,0.0001535535384497612
Telnet,9.416863041687558e-06,0.002279512323843047,9.416863041687557e-06,0.0001769388834298993,9.317787323579343e-05
cwr_flag_number,0.0001690855467700753,0.0,0.00016908554677007529,0.0,8.454277338503764e-05
IRC,0.00010722331646841095,6.021071183237581e-05,0.00010722331646841093,4.673638308819928e-06,5.594847738861543e-05
